"id","description","code"
"forma_pago001","(01) Efectivo",01
"forma_pago002","(02) Cheque nominativo",02
"forma_pago003","(03) Transferencia electrónica de fondos",03
"forma_pago004","(04) Tarjeta de crédito",04
"forma_pago005","(05) Monedero electrónico",05
"forma_pago006","(06) Dinero electrónico",06
"forma_pago007","(08)Vales de despensa",08
"forma_pago008","(12) Dación en pago",12
"forma_pago009","(13) Pago por subrogación",13
"forma_pago010","(14) Pago por consignación",14
"forma_pago011","(15) Condonación",15
"forma_pago012","(17) Compensación",17
"forma_pago013","(23) Novación",23
"forma_pago014","(24) Confusión",24
"forma_pago015","(25) Remisión de deuda",25
"forma_pago016","(26) Prescripción o caducidad",26
"forma_pago017","(27) A satisfacción del acreedor",27
"forma_pago018","(28) Tarjeta de débito",28
"forma_pago019","(29) Tarjeta de servicios",29
"forma_pago020","(30) Aplicación de anticipos",30
"forma_pago021","(31) Intermediario pagos",31
"forma_pago022","(99) Por definir",99
