"id","description","code"
"uso_cfdi001","(G01)Adquisición de mercancias","G01"
"uso_cfdi002","(G02) Devoluciones, descuentos o bonificaciones","G02"
"uso_cfdi003","(G03) Gastos en general","G03"
"uso_cfdi004","(I01) Construcciones","I01"
"uso_cfdi005","(I02) Mobilario y equipo de oficina por inversiones","I02"
"uso_cfdi006","(I03) Equipo de transporte","I03"
"uso_cfdi007","(I04) Equipo de computo y accesorios","I04"
"uso_cfdi008","(I05) Dados, troqueles, moldes, matrices y herramental","I05"
"uso_cfdi009","(I06) Comunicaciones telefónicas","I06"
"uso_cfdi010","(I07) Comunicaciones satelitales","I07"
"uso_cfdi011","(I08) Otra maquinaria y equipo","I08"
"uso_cfdi012","(D01) Honorarios médicos, dentales y gastos hospitalarios.","D01"
"uso_cfdi013","(D02) Gastos médicos por incapacidad o discapacidad","D02"
"uso_cfdi014","(D03) Gastos funerales.","D03"
"uso_cfdi015","(D04) Donativos.","D04"
"uso_cfdi016","(D05) Intereses reales efectivamente pagados por créditos hipotecarios (casa habitación).","D05"
"uso_cfdi017","(D06) Aportaciones voluntarias al SAR.","D06"
"uso_cfdi018","(D07) Primas por seguros de gastos médicos.","D07"
"uso_cfdi019","(D08) Gastos de transportación escolar obligatoria.","D08"
"uso_cfdi020","(D09) Depósitos en cuentas para el ahorro, primas que tengan como base planes de pensiones.","D09"
"uso_cfdi021","(D10) Pagos por servicios educativos (colegiaturas)","D10"
"uso_cfdi022","(P01) Por definir","P01"
"uso_cfdi023","(S01) Sin efectos fiscales","S01"
